word,sentiment
simpati,positive
sistematik,positive
sistematis,positive
siuman,positive
sobat,positive
sohib,positive
solid,positive
solidaritas,positive
solider,positive
solusi,positive
sopan,positive
sopan santun,positive
sorga,positive
spektakuler,positive
spesial,positive
sportif,positive
sportivitas,positive
stabil,positive
steril,positive
strategis,positive
subsidi,positive
suci,positive
sudah berupaya,positive
sudah berusaha,positive
sudah dilakukan,positive
sukaria,positive
sukses,positive
syukuran,positive
taat,positive
tahu,positive
tak ada banding,positive
tak ada bandingan,positive
tak ada tandingan,positive
talenta,positive
tampan,positive
tangguh,positive
taubat,positive
tauladan,positive
tawaduk,positive
tawakal,positive
tegar,positive
tegas,positive
teguh,positive
tekad,positive
tekun,positive
teladan,positive
telah berjalan,positive
tenteram,positive
tentram,positive
tepa salira,positive
tepat guna,positive
tepat sasaran,positive
tepati,positive
terahmati,positive
terawat,positive
terbaik,positive
terbantu,positive
terbarukan,positive
terbiasa,positive
terbrilian,positive
tercakap,positive
tercakep,positive
tercanggih,positive
tercangging,positive
tercantik,positive
tercerdas,positive
terdongkrak,positive
teredukasi,positive
terfavorit,positive
terfenomenal,positive
tergapai,positive
terharu,positive
terhebat,positive
terhibur,positive
terhormat,positive
terima kasih,positive
terindah,positive
terinformasi,positive
terinspirasi,positive
teristimewa,positive
terjangkau,positive
terkagum-kagum,positive
terkasih,positive
terkenal,positive
terkendali,positive
terkirim,positive
terlezat,positive
terlincah,positive
termasyhur,positive
termotivasi,positive
ternama,positive
terohmati,positive
terpana,positive
terpandai,positive
terpandang,positive
terpilih,positive
terpintar,positive
terpuji,positive
terpukau,positive
tersabar,positive
tersadar,positive
tersadarkan,positive
tersantun,positive
tersantuni,positive
tersayang,positive
tersipu,positive
tersipu-sipu,positive
tersohor,positive
tersopan,positive
terspektakuler,positive
terstruktur,positive
tersuci,positive
tersucikan,positive
tersukses,positive
tertaat,positive
tertampan,positive
tertib,positive
tertolong,positive
teruji,positive
terungkap,positive
terurus,positive
terus terang,positive
tetap di sini,positive
tiada banding,positive
tiada bandingan,positive
tiada tandingan,positive
tidak ada banding,positive
tidak ada bandingan,positive
tidak ada tandingan,positive
toleran,positive
toleransi,positive
tolong-menolong,positive
trofi,positive
tropi,positive
tulus,positive
tuntas,positive
tuntun,positive
tuntunan,positive
ukhuwah,positive
ulet,positive
unggul,positive
unggulan,positive
unik,positive
usulan bersama,positive
usulan masyarakat,positive
valid,positive
visibel,positive
wah,positive
wajar,positive
wajar-wajar,positive
wibawa,positive
yahud,positive
yakin,positive
accord,positive
asyik,positive
asyiknya,positive
bantuan,positive
bimbingan,positive
aduhai,positive
boleh juga,positive
luar biasa,positive
sabar,positive
keren,positive
cakep,positive
senang,positive
maaf,positive
minta maaf,positive
sehat,positive
suka,positive
